Customer_ID,Age,Annual_Income,Credit_Score,Account_Type,Account_Balance,Bank_Branch,Signup_Date,Is_Active
36,66,67175.07,699.0,Checking,30495.38,Surabaya,2016-03-10,Yes
37,63,85562.22,751.0,Checking,8886.59,Surabaya,2015-09-09,No
38,22,51006.08,654.0,Savings,28742.42,Medan,2019-10-31,Yes
39,56,66011.57,696.0,Business,34424.57,Surabaya,2017-03-14,Yes
40,26,42793.32,631.0,Savings,20076.58,Jakarta,2017-07-16,No
41,40,60535.68,681.0,Business,33673.25,Makassar,2023-10-09,Yes
42,28,51858.31,656.0,Savings,21145.4,Jakarta,2015-11-23,No
43,58,88842.83,760.0,Business,46415.93,Makassar,2022-02-24,Yes
44,37,65043.11,693.0,Savings,43000.21,Medan,2017-09-16,Yes
45,23,51339.09,655.0,Business,16710.0,Surabaya,2022-08-07,No
46,44,55473.99,666.0,Savings,29116.81,Surabaya,2022-03-21,Yes
47,33,58545.8,675.0,Savings,22564.29,Surabaya,2015-01-27,No
48,69,92470.24,770.0,Business,46664.16,Makassar,2020-02-02,Yes
49,28,58634.81,675.0,Checking,32702.74,Surabaya,2016-05-23,Yes
50,45,53875.44,662.0,Business,6856.81,Jakarta,2023-08-28,No
51,21,45202.67,638.0,Checking,22057.11,Surabaya,2023-09-17,No
52,39,45355.48,638.0,Savings,10705.92,Medan,2019-03-07,No
53,47,54082.78,662.0,Business,27150.61,Jakarta,2019-06-11,Yes
54,66,85696.68,751.0,Business,32650.27,Surabaya,2018-01-11,Yes
55,26,57756.77,673.0,Business,32582.42,Surabaya,2022-02-28,Yes
56,63,77847.66,729.0,Checking,13548.64,Bandung,2018-08-02,No
57,27,47220.56,643.0,Checking,22467.23,Makassar,2017-09-04,No
58,66,83372.86,745.0,Savings,22267.43,Jakarta,2019-04-27,No
59,54,68194.31,702.0,Checking,41720.54,Bandung,2015-11-30,Yes
60,33,,,Checking,25756.33,Medan,2022-06-18,Yes
61,36,46910.45,642.0,Savings,32735.94,Makassar,2015-02-15,Yes
62,55,57012.29,671.0,Business,32930.55,Jakarta,2021-06-10,Yes
63,69,87920.33,758.0,Business,48553.16,Surabaya,2016-10-29,Yes
64,59,88532.22,759.0,Savings,20300.48,Jakarta,2017-04-28,No
65,23,46978.96,642.0,Business,14169.05,Surabaya,2021-05-09,No
66,21,37350.92,615.0,Checking,14171.29,Makassar,2024-12-03,No
67,25,43723.11,633.0,Savings,24661.09,Surabaya,2022-10-09,Yes
68,61,64854.28,693.0,Savings,42089.1,Medan,2017-04-04,Yes
69,23,47879.25,645.0,Savings,10221.43,Surabaya,2016-10-04,No
70,48,79925.97,735.0,Business,52225.26,Medan,2023-08-28,Yes
71,37,57889.39,673.0,Savings,29950.51,Makassar,2019-06-10,Yes
72,45,66281.59,697.0,Savings,30917.87,Makassar,2016-05-15,Yes
73,63,83343.54,745.0,Savings,18327.64,Jakarta,2023-08-14,No
74,53,70716.37,709.0,Business,9427.55,Medan,2023-02-26,No
75,29,46585.95,641.0,Checking,20548.08,Medan,2024-10-31,No
76,55,80665.31,737.0,Savings,39599.36,Bandung,2024-02-03,Yes
77,33,,,Checking,11599.63,Bandung,2023-07-07,No
78,50,56373.82,669.0,Business,24459.12,Bandung,2015-07-11,Yes
79,67,96247.51,781.0,Business,59085.97,Surabaya,2016-01-17,Yes
80,34,56127.39,668.0,Business,33734.78,Bandung,2020-09-07,Yes
81,27,45663.02,639.0,Business,29973.8,Medan,2020-04-23,Yes
82,33,56318.53,669.0,Checking,17995.54,Surabaya,2019-07-30,No
83,42,55365.27,666.0,Savings,16101.87,Makassar,2018-12-19,No
84,59,72939.54,715.0,Business,40091.63,Jakarta,2019-04-23,Yes
85,40,66030.04,696.0,Business,23682.83,Bandung,2020-09-08,Yes
86,35,70955.89,710.0,Checking,10822.85,Makassar,2015-01-08,No
87,64,72730.3,715.0,Checking,19613.96,Medan,2017-08-09,No
88,37,81502.68,739.0,Business,28619.61,Jakarta,2020-03-06,Yes
89,66,74855.1,721.0,Savings,20623.32,Makassar,2022-03-21,No
90,43,64722.9,692.0,Savings,19373.08,Jakarta,2016-09-27,No
91,45,56938.11,670.0,Business,15730.04,Bandung,2020-06-19,No
92,44,58766.29,676.0,Checking,7339.88,Medan,2022-02-20,No
93,64,80409.18,736.0,Business,38777.88,Jakarta,2019-06-11,Yes
94,60,90996.16,766.0,Business,41710.41,Makassar,2015-04-09,Yes
95,48,83126.42,744.0,Checking,40900.7,Bandung,2019-06-28,Yes
96,34,51902.12,656.0,Business,11178.99,Bandung,2017-12-18,No
97,64,,,Business,17238.64,Makassar,2024-04-16,No
98,20,48832.2,648.0,Business,23037.54,Makassar,2016-03-30,No
99,44,59161.06,677.0,Checking,27200.87,Jakarta,2021-07-09,Yes
100,26,36893.9,614.0,Savings,14897.69,Surabaya,2015-07-12,No
101,28,57641.0,672.0,Savings,17883.0,Bandung,2019-06-17,No
102,43,,,Checking,36089.19,Jakarta,2020-07-15,Yes
103,20,48461.0,647.0,Savings,14725.46,Makassar,2017-12-23,No
104,63,66464.08,697.0,Business,24815.79,Jakarta,2019-07-20,Yes
105,27,52170.47,657.0,Savings,26443.56,Makassar,2016-08-19,Yes
106,43,70988.26,710.0,Business,30227.71,Medan,2018-01-15,Yes
107,30,62900.35,687.0,Savings,19381.59,Makassar,2021-03-17,No
108,36,61241.22,683.0,Checking,22131.77,Makassar,2018-01-06,No
109,27,48624.79,647.0,Savings,28041.36,Makassar,2023-12-29,Yes
110,54,62188.62,685.0,Savings,16596.74,Surabaya,2021-04-12,No
111,54,78220.44,730.0,Savings,14498.4,Makassar,2019-05-21,No
112,52,64792.99,693.0,Checking,18653.77,Bandung,2015-05-22,No
113,24,41679.26,628.0,Savings,25412.7,Bandung,2019-12-29,Yes
114,61,78612.04,731.0,Checking,12058.6,Jakarta,2022-08-23,No
115,58,62899.49,687.0,Business,43716.26,Surabaya,2017-08-27,Yes
116,60,67686.29,701.0,Savings,28739.72,Jakarta,2023-01-23,Yes
117,47,68483.51,703.0,Checking,47315.77,Bandung,2017-07-08,Yes
118,26,45334.74,638.0,Checking,30074.97,Bandung,2023-03-26,Yes
119,28,46572.94,641.0,Savings,17310.61,Medan,2015-11-08,No
120,27,54500.35,664.0,Business,11940.73,Makassar,2023-08-28,No
121,31,53715.52,661.0,Checking,10685.68,Bandung,2019-12-28,No
122,53,62770.18,687.0,Savings,15315.52,Jakarta,2017-12-18,No
123,52,67631.9,701.0,Business,35579.76,Jakarta,2017-08-25,Yes
124,67,102859.26,800.0,Checking,27131.19,Makassar,2019-04-26,Yes
125,42,66623.7,698.0,Checking,20310.58,Makassar,2024-12-25,No
126,43,57453.3,672.0,Business,21215.63,Medan,2017-03-15,No
127,56,59735.02,678.0,Business,38704.69,Surabaya,2016-01-12,Yes
128,54,66624.49,698.0,Savings,14233.39,Jakarta,2020-11-05,No
129,63,79469.47,734.0,Savings,8186.62,Makassar,2019-11-19,No
130,59,85750.9,751.0,Checking,11667.08,Jakarta,2020-03-28,No
131,41,68317.65,702.0,Business,43918.67,Makassar,2021-08-31,Yes
132,46,45763.93,639.0,Business,22356.13,Bandung,2017-09-02,No
133,54,65602.98,695.0,Business,17307.67,Jakarta,2024-02-06,No
134,20,43105.21,632.0,Checking,8893.27,Bandung,2019-05-10,No
135,54,56829.22,670.0,Business,15716.69,Jakarta,2016-04-16,No
136,56,61550.65,683.0,Business,10394.56,Surabaya,2022-06-02,No
137,66,,,Checking,62922.09,Medan,2021-06-05,Yes
138,33,48319.5,646.0,Savings,27567.42,Bandung,2018-02-26,Yes
139,22,49072.85,648.0,Savings,18521.79,Makassar,2021-03-18,No
140,20,,,Checking,29541.97,Surabaya,2017-03-13,Yes
141,24,54166.78,663.0,Business,13524.09,Jakarta,2019-06-12,No
142,45,55498.2,666.0,Checking,29429.16,Bandung,2023-12-27,Yes
143,33,45472.3,638.0,Savings,27905.42,Jakarta,2016-05-02,Yes
144,58,67934.95,701.0,Savings,21335.73,Jakarta,2018-11-12,No
145,46,56685.46,670.0,Checking,31430.88,Jakarta,2023-03-17,Yes
146,28,49587.09,650.0,Checking,13737.78,Medan,2024-09-08,No
147,34,46509.34,641.0,Savings,12990.72,Medan,2019-07-15,No
148,34,45122.58,637.0,Checking,7410.68,Makassar,2020-01-25,No
149,45,58605.27,675.0,Savings,21334.36,Bandung,2020-09-19,No
150,61,68993.39,704.0,Checking,37106.52,Surabaya,2024-04-26,Yes
151,32,64339.57,691.0,Checking,42730.0,Surabaya,2023-07-30,Yes
152,51,57620.11,672.0,Checking,26636.52,Surabaya,2016-09-14,Yes
153,58,69845.5,707.0,Savings,43156.23,Jakarta,2019-05-14,Yes
154,68,65224.32,694.0,Checking,38710.42,Medan,2019-08-21,Yes
155,51,56341.43,669.0,Savings,11493.98,Bandung,2022-11-20,No
156,23,53715.75,661.0,Savings,21029.2,Jakarta,2021-01-09,No
157,49,62446.89,686.0,Checking,10625.6,Medan,2021-07-15,No
158,56,75835.87,724.0,Checking,38622.6,Medan,2024-12-22,Yes
159,42,56822.78,670.0,Savings,38067.84,Bandung,2015-10-01,Yes
160,58,78659.55,732.0,Savings,14335.99,Bandung,2017-03-24,No
161,64,98661.24,788.0,Business,53309.62,Bandung,2019-01-28,Yes
162,34,55753.62,667.0,Savings,26725.1,Jakarta,2018-06-23,Yes
163,62,73382.5,717.0,Business,33034.09,Makassar,2015-03-21,Yes
164,48,63808.64,690.0,Business,21316.69,Bandung,2015-12-01,No
165,55,62614.61,686.0,Business,19603.32,Makassar,2021-10-21,No
166,32,54895.89,665.0,Checking,6979.99,Jakarta,2023-10-15,No
167,51,67328.05,700.0,Checking,15535.63,Makassar,2020-02-20,No
168,26,53191.59,660.0,Savings,5803.53,Surabaya,2020-05-22,No
169,41,61036.33,682.0,Business,27396.17,Makassar,2017-07-20,Yes
170,47,66040.93,696.0,Checking,10798.48,Bandung,2022-09-03,No
171,21,45496.1,638.0,Checking,28381.0,Jakarta,2022-07-07,Yes
172,61,66639.63,698.0,Checking,27581.2,Bandung,2020-11-17,Yes
173,64,65525.56,695.0,Checking,34061.1,Surabaya,2017-02-15,Yes
174,25,53362.88,660.0,Checking,18491.0,Bandung,2015-12-21,No
175,47,,,Business,31812.7,Bandung,2015-08-23,Yes
176,47,53805.05,662.0,Business,35812.4,Bandung,2020-12-03,Yes
177,63,78113.17,730.0,Business,11688.89,Medan,2023-03-31,No
178,63,97036.04,783.0,Business,24488.27,Surabaya,2023-07-30,Yes
179,39,71023.0,710.0,Savings,40340.56,Bandung,2019-08-20,Yes
180,49,58245.07,674.0,Business,9275.08,Bandung,2022-11-02,No
181,30,64679.24,692.0,Checking,9404.15,Bandung,2024-06-18,No
182,47,63217.01,688.0,Business,20035.04,Jakarta,2017-10-01,No
183,44,79994.18,735.0,Savings,12423.16,Medan,2018-12-23,No
184,58,75177.03,722.0,Checking,33908.38,Jakarta,2024-04-22,Yes
185,52,57804.23,673.0,Business,13628.22,Medan,2018-05-19,No
186,20,41964.2,628.0,Business,26748.77,Bandung,2024-02-18,Yes
187,46,57412.08,672.0,Business,32730.63,Surabaya,2024-10-20,Yes
188,32,60667.64,681.0,Checking,31536.44,Makassar,2021-08-12,Yes
189,60,96209.24,781.0,Checking,45234.35,Makassar,2023-03-01,Yes
190,22,52067.07,657.0,Savings,32181.59,Bandung,2022-06-28,Yes
191,58,64416.56,691.0,Checking,15062.99,Jakarta,2021-12-28,No
192,25,55435.81,666.0,Checking,34584.48,Surabaya,2018-01-25,Yes
193,27,47392.83,644.0,Business,27189.05,Medan,2015-07-28,Yes
194,46,54985.06,665.0,Checking,30181.11,Bandung,2018-06-06,Yes
195,28,48028.12,645.0,Business,20976.45,Surabaya,2021-08-31,No
196,56,69568.87,706.0,Business,17235.44,Surabaya,2016-01-10,No
197,52,63562.15,689.0,Checking,22509.18,Medan,2015-02-13,No
198,61,95633.15,779.0,Savings,55098.31,Surabaya,2016-05-24,Yes
199,63,,,Savings,9291.58,Jakarta,2022-02-25,No
200,43,54524.33,664.0,Checking,31036.91,Jakarta,2024-09-20,Yes
201,34,67358.12,700.0,Savings,16438.24,Jakarta,2024-10-28,No
202,51,56519.15,669.0,Business,10545.65,Surabaya,2019-12-09,No
203,51,73094.19,716.0,Business,12383.68,Jakarta,2023-09-09,No
204,43,74030.78,719.0,Checking,8613.48,Medan,2022-05-13,No
205,60,88461.24,759.0,Savings,36636.39,Surabaya,2020-01-03,Yes
206,68,86349.47,753.0,Savings,19942.92,Makassar,2020-09-21,No
207,68,68006.63,702.0,Business,47173.41,Surabaya,2016-05-15,Yes
208,31,48834.76,648.0,Checking,21714.96,Medan,2024-05-15,No
209,58,94150.79,775.0,Savings,17204.28,Makassar,2018-07-08,No
210,21,35818.11,611.0,Checking,18383.91,Surabaya,2019-06-17,No
211,22,,,Savings,32653.01,Jakarta,2021-09-17,Yes
212,68,77593.18,729.0,Business,42451.83,Bandung,2018-05-03,Yes
213,56,54370.67,663.0,Business,7930.72,Bandung,2017-07-17,No
214,68,64616.91,692.0,Checking,41195.25,Jakarta,2021-04-22,Yes
215,36,55939.81,668.0,Business,32241.34,Bandung,2015-04-02,Yes
216,68,87553.86,756.0,Savings,17071.46,Bandung,2022-03-15,No
217,21,55521.41,666.0,Business,7277.28,Jakarta,2020-02-20,No
218,21,54023.68,662.0,Checking,23467.15,Jakarta,2021-01-20,Yes
219,47,58597.86,675.0,Checking,11345.8,Surabaya,2021-04-25,No
220,42,70449.79,708.0,Checking,42323.03,Surabaya,2020-04-07,Yes
221,56,70152.97,708.0,Savings,22098.24,Jakarta,2020-10-27,No
222,51,77015.66,727.0,Savings,49885.77,Medan,2021-10-31,Yes
223,52,74446.32,720.0,Savings,32712.67,Bandung,2022-07-11,Yes
224,20,44665.75,636.0,Savings,9362.09,Surabaya,2022-04-09,No
225,38,74085.76,719.0,Savings,13613.95,Bandung,2023-09-10,No
226,21,43062.49,631.0,Business,19200.85,Makassar,2016-11-22,No
227,63,57986.14,673.0,Savings,32305.83,Jakarta,2019-01-04,Yes
228,45,64585.96,692.0,Savings,36743.17,Medan,2024-06-21,Yes
229,51,53678.87,661.0,Business,14249.29,Makassar,2018-12-18,No
230,25,50658.71,653.0,Savings,11274.0,Makassar,2016-03-31,No
231,51,55103.02,665.0,Checking,6064.3,Makassar,2020-04-01,No
232,23,60828.99,681.0,Savings,30871.9,Jakarta,2016-02-04,Yes
233,30,53437.87,661.0,Savings,7798.77,Surabaya,2017-01-10,No
234,36,61080.77,682.0,Checking,21528.33,Jakarta,2024-12-22,No
235,57,93784.15,774.0,Checking,43235.37,Surabaya,2020-05-29,Yes
236,43,,,Checking,33500.62,Makassar,2017-11-02,Yes
237,24,33651.01,605.0,Checking,9660.57,Makassar,2024-12-09,No
238,53,60572.16,681.0,Savings,15134.76,Medan,2024-08-28,No
239,25,54065.87,662.0,Checking,26627.23,Surabaya,2019-05-28,Yes
240,41,53805.65,662.0,Checking,25371.7,Makassar,2017-08-08,Yes
241,30,54527.74,664.0,Business,16318.29,Bandung,2023-05-19,No
242,67,65171.86,694.0,Checking,42808.86,Medan,2022-02-25,Yes
243,35,64595.39,692.0,Checking,39204.07,Jakarta,2021-11-12,Yes
244,52,74120.82,719.0,Business,17373.14,Medan,2023-12-04,No
245,28,53991.0,662.0,Business,13146.03,Bandung,2021-11-21,No
246,25,56570.82,669.0,Savings,23045.83,Surabaya,2017-11-01,No
247,35,42799.42,631.0,Business,24145.0,Jakarta,2021-12-07,Yes
248,48,72758.03,715.0,Savings,9198.38,Jakarta,2018-01-21,No
249,22,35490.24,610.0,Business,18313.0,Surabaya,2022-08-03,No
250,39,67753.66,701.0,Business,33127.58,Medan,2021-03-12,Yes
251,55,76576.13,726.0,Savings,18293.12,Makassar,2015-10-10,No
252,38,66773.69,698.0,Business,33975.24,Medan,2020-02-15,Yes
253,45,50103.63,651.0,Savings,33274.31,Bandung,2018-06-07,Yes
254,22,54352.24,663.0,Business,6960.97,Makassar,2018-04-14,No
255,38,50065.32,651.0,Checking,14608.62,Medan,2021-01-07,No
256,39,50254.58,652.0,Business,18237.69,Surabaya,2018-03-22,No
257,51,69556.52,706.0,Savings,44485.3,Bandung,2022-10-06,Yes
258,26,44439.56,635.0,Business,30101.44,Bandung,2015-09-16,Yes
259,60,59142.01,677.0,Savings,21673.72,Bandung,2021-08-07,No
260,52,78246.35,730.0,Savings,43036.83,Makassar,2023-02-01,Yes
261,59,88098.07,758.0,Checking,36912.79,Jakarta,2021-09-21,Yes
262,58,69920.71,707.0,Checking,29553.37,Makassar,2019-12-20,Yes
263,37,49920.54,651.0,Savings,13321.78,Medan,2024-06-30,No
264,59,81661.96,740.0,Business,18796.44,Jakarta,2017-12-30,No
265,20,43729.85,633.0,Savings,11929.64,Medan,2015-03-11,No
266,30,65924.39,696.0,Savings,28597.79,Jakarta,2019-04-26,Yes
267,47,60519.18,681.0,Business,7110.59,Makassar,2015-05-01,No
268,44,72220.41,713.0,Business,46535.18,Bandung,2024-07-13,Yes
269,69,98259.49,787.0,Business,19039.76,Surabaya,2017-02-05,No
270,42,68403.56,703.0,Business,15873.27,Bandung,2022-11-19,No
271,50,73818.14,718.0,Savings,30336.72,Makassar,2022-09-28,Yes
272,49,78739.06,732.0,Savings,41422.17,Jakarta,2017-03-05,Yes
273,61,89028.28,761.0,Checking,14016.38,Bandung,2021-03-17,No
274,54,74386.57,720.0,Savings,21617.99,Makassar,2015-06-25,No
275,26,48717.67,647.0,Business,33186.71,Medan,2019-11-01,Yes
276,35,59072.59,676.0,Checking,15205.63,Surabaya,2015-02-23,No
277,45,58230.23,674.0,Business,16760.41,Bandung,2024-03-16,No
278,67,,,Savings,58868.97,Jakarta,2024-10-02,Yes
279,68,75629.93,723.0,Checking,9841.62,Medan,2017-03-22,No
280,21,40986.35,626.0,Business,15524.31,Makassar,2017-01-29,No
281,20,,,Checking,12162.29,Surabaya,2022-07-14,No
282,67,68867.97,704.0,Checking,19968.41,Jakarta,2017-07-13,No
283,31,48601.38,647.0,Savings,13191.38,Makassar,2023-12-12,No
284,24,37734.45,617.0,Business,5842.22,Makassar,2020-09-25,No
285,56,77165.2,727.0,Checking,22292.68,Bandung,2018-07-04,No
286,51,66695.87,698.0,Checking,8392.44,Bandung,2023-04-28,No
287,28,55209.11,666.0,Business,31390.7,Jakarta,2019-12-06,Yes
288,60,58909.1,676.0,Checking,19966.45,Makassar,2024-02-10,No
289,54,74066.82,719.0,Checking,27133.81,Bandung,2024-04-10,Yes
290,38,64575.01,692.0,Checking,41079.83,Surabaya,2016-08-26,Yes
291,67,77189.73,727.0,Business,38196.03,Surabaya,2015-01-09,Yes
292,35,55698.8,667.0,Business,5839.21,Makassar,2024-10-31,No
293,22,46370.76,641.0,Business,30878.52,Bandung,2024-01-21,Yes
294,39,80316.0,736.0,Business,19459.5,Jakarta,2015-07-22,No
295,43,59002.06,676.0,Savings,9709.88,Jakarta,2023-04-29,No
296,52,69917.13,707.0,Checking,39214.9,Jakarta,2019-07-29,Yes
297,43,62364.02,686.0,Business,24963.47,Surabaya,2017-08-03,Yes
298,30,47971.94,645.0,Checking,17282.48,Bandung,2023-10-13,No
299,68,88734.06,760.0,Checking,22157.06,Bandung,2016-12-18,No
300,27,,,Savings,24168.2,Surabaya,2024-06-19,Yes
301,55,75557.47,723.0,Business,19994.83,Jakarta,2017-01-20,No
302,57,73157.58,716.0,Business,46890.34,Jakarta,2021-02-17,Yes
303,59,68125.89,702.0,Checking,15609.19,Makassar,2017-03-25,No
304,39,73456.51,717.0,Business,46322.63,Medan,2020-06-14,Yes
305,54,77531.12,728.0,Checking,33775.91,Bandung,2021-11-01,Yes
306,67,84589.33,748.0,Checking,50507.69,Bandung,2016-11-25,Yes
307,44,52080.24,657.0,Savings,27483.14,Bandung,2020-03-16,Yes
308,54,51088.0,654.0,Savings,26464.46,Medan,2019-09-09,Yes
309,44,60555.91,681.0,Savings,17840.23,Makassar,2015-09-17,No
310,48,65769.9,695.0,Checking,15807.02,Medan,2023-03-06,No
311,37,71205.46,711.0,Business,16130.3,Jakarta,2018-05-10,No
312,65,60309.13,680.0,Savings,37048.8,Jakarta,2020-09-28,Yes
313,37,,,Business,36234.03,Bandung,2020-02-22,Yes
314,21,33572.99,605.0,Savings,12232.12,Surabaya,2020-02-17,No
315,54,81475.67,739.0,Savings,14620.22,Bandung,2016-01-27,No
316,35,44617.31,636.0,Checking,14694.77,Surabaya,2019-03-26,No
317,60,89522.16,762.0,Savings,42219.19,Medan,2019-07-10,Yes
318,55,60603.08,681.0,Savings,22583.24,Jakarta,2022-05-01,No
319,52,79633.27,734.0,Checking,45240.74,Surabaya,2023-05-25,Yes
320,23,,,,32251.48,Medan,2020-06-12,Yes
321,52,63506.49,689.0,Savings,13633.53,Jakarta,2015-11-13,No
322,33,49861.82,651.0,Checking,18737.6,Surabaya,2017-05-14,No
323,40,56632.52,670.0,Savings,20307.88,Bandung,2016-08-25,No
324,67,77284.34,728.0,Checking,21847.94,Bandung,2016-03-30,No
325,39,70288.49,708.0,Business,15383.15,Bandung,2018-08-28,No
326,27,48262.17,646.0,Business,6728.48,Medan,2017-04-17,No
327,26,48487.13,647.0,Checking,30657.04,Bandung,2017-03-07,Yes
328,22,46660.04,642.0,Checking,16420.1,Makassar,2015-07-19,No
329,36,,,Checking,25079.09,Jakarta,2015-03-06,Yes
330,52,51761.39,656.0,Business,33653.46,Medan,2016-01-11,Yes
331,67,75502.89,723.0,Savings,42717.6,Bandung,2016-09-20,Yes
332,31,58732.69,676.0,Business,10472.08,Jakarta,2019-04-23,No
333,41,69654.76,706.0,Checking,30595.99,Surabaya,2020-02-07,Yes
334,41,52587.78,658.0,Checking,19213.02,Bandung,2016-05-28,No
335,65,68944.1,704.0,Business,39872.21,Jakarta,2019-03-31,Yes
336,49,69072.51,705.0,Checking,36921.99,Makassar,2018-06-01,Yes
337,57,85898.39,752.0,Business,44172.68,Surabaya,2016-10-31,Yes
338,57,63659.63,689.0,Checking,19373.34,Makassar,2015-01-25,No
339,64,77365.92,728.0,Savings,45102.65,Jakarta,2019-09-01,Yes
340,27,58075.93,674.0,Savings,7633.2,Makassar,2021-11-07,No
341,46,46821.31,642.0,Checking,9166.44,Jakarta,2017-04-05,No
342,46,56772.02,670.0,Business,17109.61,Jakarta,2016-04-26,No
343,53,85016.39,749.0,Savings,12419.57,Makassar,2023-11-12,No
344,40,70495.71,709.0,Business,16989.22,Jakarta,2017-09-30,No
345,49,51856.95,656.0,Checking,31015.16,Bandung,2017-03-27,Yes
346,52,69097.56,705.0,Business,46222.88,Jakarta,2023-07-26,Yes
347,47,,,Savings,15532.61,Medan,2023-03-02,No
348,66,94444.91,776.0,Business,24433.79,Jakarta,2019-06-25,Yes
349,52,83363.89,745.0,Business,22336.15,Medan,2019-11-21,No
350,24,44307.23,635.0,Checking,11813.7,Jakarta,2017-03-05,No
351,67,67261.85,699.0,Checking,8176.22,Jakarta,2015-10-13,No
352,38,53619.62,661.0,Checking,35182.51,Makassar,2020-09-24,Yes
353,23,47390.02,644.0,Savings,10815.3,Bandung,2015-12-25,No
354,54,62689.88,687.0,Savings,22066.99,Bandung,2019-06-28,No
355,68,92695.51,771.0,Checking,9808.31,Surabaya,2024-05-25,No
356,36,47953.05,645.0,Checking,29480.24,Makassar,2024-07-09,Yes
357,63,88375.26,759.0,Savings,47607.26,Makassar,2017-05-23,Yes
358,47,74480.45,720.0,Savings,49756.94,Bandung,2021-03-28,Yes
359,49,56652.16,670.0,Savings,32233.34,Makassar,2019-09-27,Yes
360,48,60841.38,681.0,Savings,17535.94,Bandung,2023-10-02,No
361,65,76980.46,727.0,Checking,19146.89,Makassar,2017-09-17,No
362,25,42076.41,629.0,Savings,21822.08,Jakarta,2015-01-14,No
363,54,72250.99,714.0,Checking,23009.6,Bandung,2016-08-16,No
364,60,61511.11,683.0,Business,27048.22,Bandung,2018-06-29,Yes
365,56,75104.03,722.0,Business,7792.38,Medan,2018-02-26,No
366,43,73161.08,716.0,Savings,10032.68,Makassar,2022-11-28,No
367,48,66348.06,697.0,Business,27947.18,Makassar,2021-10-20,Yes
368,68,92481.86,770.0,Business,40659.0,Bandung,2017-12-29,Yes
369,65,80563.79,737.0,Business,44380.32,Jakarta,2019-07-29,Yes
370,50,85653.17,751.0,Savings,15347.27,Jakarta,2015-12-15,No
371,54,,,Savings,28809.69,Jakarta,2023-12-23,Yes
372,52,,,Business,12892.92,Makassar,2024-05-07,No
373,40,62177.22,685.0,Checking,9694.53,Medan,2024-10-16,No
374,51,55300.59,666.0,Business,19150.45,Bandung,2023-09-06,No
375,42,54618.06,664.0,Savings,10814.48,Surabaya,2016-09-26,No
376,52,76452.52,725.0,Savings,17818.73,Medan,2015-06-18,No
377,22,38175.9,618.0,Savings,11091.35,Surabaya,2020-10-16,No
378,37,58684.48,675.0,Business,15001.69,Medan,2024-02-14,No
379,44,73257.96,716.0,Checking,11175.85,Jakarta,2016-10-09,No
380,61,86935.12,755.0,Savings,13383.64,Makassar,2015-01-26,No
